2017-03-24 13:58:35.452 I 3012 SampleAnalyzer-0: constructed
2017-03-24 13:58:36.021 I 8068 SampleAnalyzer-0: block transfers changed
2017-03-24 13:58:36.024 I 4516 SampleAnalyzer-0: acquired 54000 samples at start
2017-03-24 13:58:36.027 I 4516 SampleAnalyzer-0: released 986 samples
2017-03-24 13:58:36.027 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.027 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.027 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.027 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.027 I 4516 SampleAnalyzer-0: released 352 samples
2017-03-24 13:58:36.027 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.027 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.027 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.027 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.027 I 4516 SampleAnalyzer-0: released 296 samples
2017-03-24 13:58:36.028 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.028 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.028 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.028 I 4516 SampleAnalyzer-0: released 280 samples
2017-03-24 13:58:36.028 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.028 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.028 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.028 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.028 I 4516 SampleAnalyzer-0: released 344 samples
2017-03-24 13:58:36.028 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.028 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.028 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.028 I 4516 SampleAnalyzer-0: released 345 samples
2017-03-24 13:58:36.028 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.028 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.028 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.028 I 4516 SampleAnalyzer-0: released 319 samples
2017-03-24 13:58:36.028 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.028 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.028 I 8068 SampleAnalyzer-0: acquired 100 samples
